ID,Gender,Ever_Married,Age,Graduated,Profession,Income,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462384,Female,No,29,Yes,Healthcare,886,,Low,1,Cat_7,A
462442,Male,No,19,No,Healthcare,838,0,Low,4,Cat_6,D
464191,Female,No,45,Yes,Engineer,1584,1,Low,1,Cat_6,A
462078,Female,Yes,61,No,Artist,586,1,Average,2,Cat_2,B
467873,Female,Yes,36,Yes,Artist,694,1,Average,2,Cat_6,C
461270,Male,Yes,40,Yes,Artist,554,1,Low,1,Cat_3,A
462960,Female,Yes,57,Yes,Entertainment,750,0,Average,2,Cat_6,C
464961,Male,Yes,76,No,Marketing,783,1,Low,1,Cat_4,A
462110,Male,Yes,32,Yes,Artist,675,14,Average,2,Cat_6,B
465769,Male,No,25,Yes,Healthcare,886,9,Low,4,Cat_6,D
462267,Male,No,32,,Doctor,1430,8,Low,2,Cat_6,D
465269,Female,Yes,45,Yes,Artist,685,1,Average,3,Cat_3,C
460881,Male,Yes,72,Yes,Lawyer,1038,1,Low,,Cat_4,D
461891,Male,Yes,48,Yes,Artist,698,0,Average,2,Cat_6,C
466935,Male,Yes,55,Yes,Artist,520,9,Average,2,Cat_1,C
464091,Male,Yes,74,Yes,Lawyer,1048,0,High,3,Cat_6,D
464535,Male,Yes,56,Yes,Lawyer,1063,1,High,2,Cat_6,A
463108,Male,Yes,59,Yes,Lawyer,1028,7,High,2,Cat_6,A
461356,Male,No,25,Yes,Entertainment,652,0,Low,2,Cat_6,A
464570,Male,Yes,31,Yes,Doctor,1342,0,Average,2,Cat_6,A
464580,Male,No,27,No,Artist,694,8,Low,4,Cat_6,A
465233,Male,Yes,57,Yes,Artist,549,0,Average,4,Cat_6,B
467208,Female,Yes,39,Yes,Homemaker,600,,High,2,Cat_6,A
459954,Male,Yes,27,Yes,Healthcare,826,8,Low,2,Cat_6,D
460219,Female,Yes,51,Yes,Entertainment,696,8,Average,2,Cat_6,A
460877,Female,Yes,47,No,Artist,525,0,Average,5,Cat_6,B
460191,Female,No,33,No,Healthcare,819,8,Low,4,Cat_6,D
463742,Male,Yes,56,Yes,Artist,506,0,Average,4,Cat_6,C
463691,Female,No,33,No,Homemaker,542,0,Low,3,Cat_6,B
463250,Female,No,36,Yes,Doctor,1429,0,Low,2,Cat_6,D
463952,Male,Yes,51,No,Artist,700,4,Low,3,Cat_4,A
461558,Male,Yes,45,Yes,Engineer,1605,2,Average,2,Cat_6,C
466567,Female,No,49,Yes,,1605,1,Low,1,Cat_6,D
465379,Male,No,30,No,Healthcare,825,0,Low,4,Cat_6,C
463814,Female,No,26,No,Healthcare,882,6,Low,3,Cat_5,D
466938,Male,Yes,63,Yes,Artist,577,8,Low,1,Cat_6,A
460671,Male,Yes,35,No,Entertainment,744,8,Average,4,Cat_3,B
462204,Female,No,19,No,Marketing,740,1,Low,3,Cat_4,A
461671,Male,No,32,No,Healthcare,827,7,Low,5,Cat_6,D
459384,Male,Yes,52,Yes,Artist,561,0,Average,3,Cat_6,C
459905,Female,Yes,36,Yes,Artist,659,5,Low,2,Cat_6,C
464734,Female,No,42,No,Entertainment,727,7,Low,3,Cat_4,D
464125,Male,Yes,40,No,Doctor,1443,0,Average,2,Cat_3,D
467434,Male,No,39,Yes,Entertainment,689,0,Low,3,Cat_1,B
460956,Female,Yes,47,Yes,Artist,632,1,Average,4,Cat_3,C
465179,Female,Yes,61,Yes,Artist,587,1,High,2,Cat_6,C
463338,Male,Yes,32,No,Entertainment,639,1,Low,2,Cat_3,D
467066,Male,Yes,55,No,Artist,615,0,Low,1,Cat_6,B
463845,Male,Yes,58,Yes,Artist,606,,Average,1,Cat_6,D
459976,Female,No,38,Yes,Artist,524,0,Low,1,Cat_6,D
461334,Male,Yes,63,Yes,Artist,568,0,High,2,Cat_6,C
465108,Male,Yes,58,Yes,Doctor,1301,1,Average,2,Cat_6,C
462600,Male,Yes,30,No,Engineer,1526,3,Average,3,Cat_4,D
464144,Male,Yes,60,Yes,Artist,527,0,Average,4,Cat_6,C
466911,Male,Yes,68,No,Executive,1387,1,High,7,Cat_6,B
462806,Male,Yes,52,No,Artist,554,0,Low,3,Cat_4,A
463426,Male,Yes,38,No,Executive,1309,0,High,5,Cat_6,A
464065,Female,Yes,35,Yes,Healthcare,845,10,Low,2,Cat_6,B
462979,Male,No,18,No,Doctor,1404,1,Low,2,Cat_6,D
462834,Male,Yes,30,Yes,Homemaker,526,3,Low,2,Cat_1,D
460764,Male,No,86,No,Lawyer,1045,1,Low,1,Cat_6,D
466466,Female,,19,No,Healthcare,876,6,Low,5,Cat_3,D
460185,Male,No,25,No,Healthcare,824,9,Low,3,Cat_6,D
459749,Male,Yes,59,Yes,Entertainment,794,,Low,4,Cat_4,A
464406,Female,No,39,Yes,Artist,512,0,Low,1,Cat_6,A
467758,Female,Yes,50,Yes,Doctor,1360,1,Low,,Cat_6,B
462059,Male,No,47,Yes,Artist,606,1,Low,1,Cat_6,C
467905,Male,Yes,43,Yes,Executive,1580,0,High,3,Cat_6,D
461177,Male,Yes,36,No,Executive,1481,8,Average,4,Cat_1,B
460765,Male,Yes,80,No,Lawyer,1006,1,Low,1,Cat_6,D
465386,Male,No,36,Yes,Artist,527,0,Low,2,Cat_2,C
465827,Male,No,27,No,,527,2,Low,7,Cat_4,D
462332,Female,Yes,37,Yes,Artist,611,1,High,2,Cat_7,A
464481,Male,Yes,46,Yes,Executive,1328,0,High,3,Cat_6,C
461011,Male,Yes,55,No,Executive,1553,1,High,4,Cat_3,B
464749,Female,Yes,47,No,Engineer,1563,9,Average,4,Cat_4,B
461094,Female,No,28,Yes,Healthcare,821,1,Low,3,Cat_3,D
462104,Male,Yes,39,No,Entertainment,658,9,Low,2,Cat_3,D
464524,Female,Yes,27,No,Marketing,769,1,Low,2,Cat_6,A
466295,Female,Yes,42,No,Engineer,1587,0,Low,,Cat_6,A
461787,Male,Yes,72,Yes,Artist,574,0,Average,2,Cat_6,C
467857,Female,Yes,28,Yes,Engineer,1770,0,Low,2,Cat_6,A
460153,Male,No,35,Yes,Entertainment,784,8,Low,5,Cat_6,C
465215,Male,Yes,39,Yes,Executive,1470,9,High,5,Cat_2,A
466746,Female,Yes,69,Yes,Lawyer,1033,0,High,2,Cat_6,C
464857,Male,No,18,No,Healthcare,820,6,Low,4,Cat_4,D
459478,Male,Yes,46,Yes,Artist,595,,Low,1,Cat_6,A
460723,Female,Yes,50,Yes,Engineer,1668,1,High,2,Cat_4,B
459853,Male,No,30,No,Executive,1347,5,Low,5,Cat_6,A
459390,Female,No,41,No,Artist,524,,Low,2,Cat_6,B
460410,Female,No,39,Yes,Artist,542,3,Low,4,Cat_6,D
463823,Female,No,29,No,Marketing,723,8,Low,4,Cat_6,D
462008,Female,Yes,37,Yes,Artist,631,4,Low,4,Cat_5,B
459750,Female,Yes,39,Yes,Engineer,1781,0,Average,2,Cat_6,A
459880,Female,Yes,48,Yes,Artist,561,0,Average,5,Cat_7,C
459261,Female,No,32,Yes,Doctor,1465,0,Low,3,Cat_6,C
465656,Male,Yes,78,No,Lawyer,1085,1,Low,,Cat_6,B
465395,Female,Yes,43,No,Engineer,1670,0,Average,5,Cat_4,B
461631,Male,No,29,No,Marketing,721,8,Low,5,Cat_6,C
464904,Female,Yes,28,No,Engineer,1582,9,Average,2,Cat_4,A
461740,Male,Yes,80,Yes,Lawyer,1003,1,Low,1,Cat_6,B
467092,Female,No,28,Yes,Healthcare,834,7,Low,4,Cat_6,D
464173,Male,Yes,71,Yes,Artist,519,6,Average,3,Cat_6,C
464972,Male,Yes,67,No,Lawyer,1015,0,High,9,Cat_4,A
467959,Female,No,26,No,Engineer,1781,0,Low,1,Cat_2,A
467688,Female,Yes,47,Yes,Engineer,1760,0,Average,2,Cat_6,C
460043,Female,Yes,43,Yes,Artist,563,2,Average,2,Cat_6,B
466590,Female,No,27,Yes,Healthcare,851,0,Low,4,Cat_6,C
461191,Female,Yes,45,Yes,Marketing,768,8,Low,4,Cat_6,D
465662,Male,Yes,76,No,Executive,1524,1,Low,1,Cat_6,C
459231,Female,Yes,43,Yes,Artist,695,3,Average,4,Cat_6,C
466495,Female,Yes,78,Yes,Lawyer,1090,1,High,2,Cat_6,B
459192,Male,Yes,35,Yes,Artist,657,3,Average,3,Cat_6,C
465710,Female,No,49,Yes,Artist,588,1,Low,1,Cat_6,C
460258,Female,No,25,Yes,Healthcare,871,1,Low,5,Cat_6,D
462813,Male,Yes,37,No,Executive,1430,0,Average,5,Cat_6,A
463595,Female,No,32,No,Healthcare,848,1,Low,5,,C
467768,Male,Yes,60,Yes,Doctor,1417,0,Average,2,Cat_6,C
465291,Female,Yes,45,Yes,Artist,653,5,Average,3,Cat_6,C
462996,Female,Yes,49,Yes,Homemaker,570,9,Average,3,Cat_6,C
463497,Male,No,32,Yes,Artist,591,0,Low,5,Cat_6,D
465301,Female,Yes,40,Yes,Artist,683,0,Low,3,Cat_3,B
464702,Male,Yes,59,No,Artist,624,2,Average,2,Cat_4,C
459012,Male,Yes,48,Yes,Artist,619,3,Low,5,Cat_6,B
465053,Male,Yes,82,Yes,Executive,1460,0,High,2,Cat_6,C
459420,Female,Yes,70,Yes,Lawyer,1049,0,Low,2,Cat_6,B
464166,Male,No,31,Yes,Artist,632,5,Low,2,Cat_6,B
458987,Female,Yes,72,Yes,Lawyer,1010,0,High,2,Cat_6,C
467745,Male,Yes,50,Yes,Artist,514,3,Average,4,Cat_6,C
464866,Female,No,23,No,Engineer,1682,11,Low,1,Cat_3,D
461081,Female,No,20,No,Healthcare,824,2,Low,6,Cat_6,D
467896,Female,No,22,No,Healthcare,856,4,Low,3,Cat_6,D
463991,Female,No,31,Yes,Engineer,1645,8,Low,1,Cat_6,A
466620,Female,Yes,36,Yes,Artist,608,7,Average,2,Cat_6,C
462594,Male,Yes,52,No,Entertainment,616,,Average,5,Cat_4,B
462206,Female,No,29,Yes,Artist,604,,Low,1,Cat_4,B
460697,Male,Yes,40,Yes,Artist,628,4,Average,4,Cat_6,C
467934,Female,No,40,Yes,Artist,619,1,Low,1,Cat_6,A
460054,Male,Yes,38,Yes,Artist,528,,Low,2,Cat_6,C
459576,Female,Yes,85,No,Lawyer,1010,,Low,,,A
467910,Female,No,21,No,Doctor,1354,1,Low,3,Cat_7,A
467335,Female,Yes,41,No,Engineer,1682,4,Average,2,Cat_6,D
460263,Male,Yes,40,Yes,Artist,580,0,Low,2,Cat_6,B
459340,Male,Yes,53,Yes,Artist,693,1,Average,3,Cat_6,B
465622,Female,Yes,42,Yes,Artist,593,5,Low,2,Cat_6,C
459395,Male,Yes,42,No,Executive,1399,8,Low,2,Cat_6,D
467539,Male,Yes,48,Yes,Artist,562,,Average,4,Cat_7,C
466574,Male,Yes,59,Yes,Artist,566,7,Low,2,Cat_6,C
466544,Male,Yes,41,Yes,Executive,1350,1,Average,3,Cat_6,A
463610,Female,Yes,31,Yes,Artist,582,0,Average,2,Cat_6,A
465539,Female,Yes,49,Yes,Artist,680,1,High,5,Cat_6,B
459823,Male,Yes,67,Yes,Executive,1576,1,Low,2,Cat_6,A
467614,Male,Yes,35,No,Artist,659,4,Average,2,Cat_6,B
459073,Female,No,26,Yes,Healthcare,832,0,Low,3,Cat_6,C
466065,Male,,19,No,Healthcare,803,9,Low,3,Cat_3,D
464863,Female,Yes,25,No,Engineer,1533,6,Average,8,Cat_4,D
460022,Female,Yes,39,Yes,Healthcare,887,4,Low,2,Cat_6,A
459929,Male,Yes,63,Yes,Entertainment,646,0,Low,2,Cat_6,A
466613,Male,No,23,No,Healthcare,869,8,Low,3,Cat_6,D
461149,Female,No,23,No,Healthcare,850,0,Low,3,Cat_3,D
466068,Female,Yes,53,Yes,Artist,592,2,Low,1,Cat_6,C
461513,Male,No,33,Yes,Doctor,1349,0,Low,2,Cat_6,B
464761,Female,Yes,50,No,Engineer,1781,,Average,4,Cat_2,B
466236,Female,Yes,69,Yes,Engineer,1568,0,Low,2,Cat_4,B
459664,Male,No,37,Yes,Artist,593,2,Low,1,Cat_6,B
461967,Female,No,20,No,Marketing,741,3,Low,4,Cat_7,C
460516,Female,,85,No,Lawyer,1018,0,High,1,Cat_3,C
461710,Female,Yes,49,Yes,Doctor,1344,1,Average,4,Cat_6,C
462742,Male,No,18,No,Healthcare,859,0,Low,3,Cat_3,D
459528,Female,Yes,52,Yes,Doctor,1326,0,Average,2,Cat_6,C
462691,Male,Yes,25,No,Doctor,1310,,Average,2,Cat_4,B
462934,Male,Yes,56,No,Executive,1422,,High,2,Cat_6,A
465837,Male,No,62,Yes,,1422,0,Low,1,Cat_6,A
464613,Female,No,35,,Artist,672,0,Low,3,Cat_6,B
467515,Male,Yes,28,Yes,Engineer,1535,0,Average,2,Cat_6,A
463429,Female,No,28,Yes,Artist,658,7,Low,3,Cat_6,A
464024,Male,No,20,No,Healthcare,825,0,Low,5,Cat_7,D
460691,Female,No,27,No,Homemaker,582,8,Low,1,Cat_3,D
461825,Female,No,56,No,Engineer,1761,,Low,1,Cat_6,A
467271,Male,Yes,45,Yes,Artist,545,4,Average,4,Cat_6,B
465634,Male,No,25,Yes,Healthcare,813,1,Low,4,Cat_4,B
464801,Male,No,40,No,Marketing,703,1,Low,1,Cat_4,D
459429,Female,Yes,25,Yes,Healthcare,847,,Low,2,Cat_6,D
459888,Female,Yes,74,No,Lawyer,1052,,High,2,Cat_6,D
463467,Female,No,23,No,Healthcare,805,0,Low,4,,D
462036,Female,Yes,67,Yes,Lawyer,1017,0,High,2,Cat_6,B
461282,Male,No,21,No,Healthcare,877,0,Low,4,,D
460448,Female,No,38,Yes,Artist,668,9,Low,1,Cat_3,A
464464,Male,No,28,No,Healthcare,834,0,Low,4,Cat_2,C
462410,Female,No,32,No,Healthcare,808,1,Low,5,Cat_7,B
467252,Female,No,33,Yes,,808,0,Low,4,,D
459756,Female,Yes,56,No,Lawyer,1042,1,High,4,Cat_4,B
463789,Female,Yes,53,Yes,Artist,544,1,Low,2,Cat_6,C
466947,Male,Yes,57,No,Executive,1575,1,High,5,Cat_6,C
464150,Female,Yes,59,Yes,Artist,626,0,Average,3,Cat_6,C
465693,Female,Yes,25,Yes,Healthcare,835,1,High,4,Cat_4,A
461670,Male,Yes,59,Yes,Artist,590,0,Average,6,Cat_6,C
466768,Female,Yes,36,Yes,Artist,689,0,Low,4,Cat_6,C
461550,Male,Yes,37,Yes,Entertainment,749,7,Low,2,Cat_6,A
462438,Male,No,22,No,Doctor,1413,1,Low,3,Cat_2,D
460704,Male,Yes,43,Yes,Artist,561,1,Low,2,Cat_6,B
464884,Male,Yes,41,Yes,Artist,586,1,Low,2,Cat_4,A
467050,Female,No,21,No,Engineer,1517,0,Low,5,Cat_2,B
460738,Female,No,49,No,Engineer,1524,1,Low,,Cat_7,A
466176,Male,No,38,Yes,Doctor,1427,8,Low,1,Cat_2,B
459488,Male,Yes,47,No,Artist,559,,Average,4,Cat_6,A
467773,Male,Yes,70,Yes,Lawyer,1086,1,High,3,Cat_6,C
465425,Female,No,31,No,Engineer,1507,1,Low,4,Cat_6,B
462318,Female,Yes,82,No,Lawyer,1027,0,Average,2,Cat_6,A
466078,Female,Yes,51,No,Executive,1566,,Low,1,Cat_6,A
460792,Female,No,42,No,Homemaker,581,11,Low,,Cat_6,A
460197,Male,No,38,Yes,Artist,591,8,Low,3,Cat_2,A
459375,Male,Yes,18,No,Executive,1400,0,High,4,Cat_6,A
463862,Male,Yes,50,Yes,Artist,519,6,Average,3,Cat_6,C
460144,Female,No,46,Yes,Doctor,1382,1,Low,,Cat_3,A
462721,Female,Yes,72,No,Lawyer,1031,1,High,3,Cat_6,D
459637,Female,No,33,No,Engineer,1554,,Low,4,Cat_6,C
465809,Female,No,25,No,Homemaker,571,1,Low,7,Cat_4,B
466915,Female,Yes,75,No,Entertainment,642,2,High,2,Cat_2,D
467343,Male,No,72,Yes,Artist,649,1,Low,1,Cat_6,B
466268,Female,Yes,72,Yes,Artist,516,0,Average,3,Cat_4,C
464868,Male,Yes,36,Yes,Entertainment,637,6,Low,6,Cat_4,A
464038,Male,Yes,40,Yes,Artist,505,1,Low,2,Cat_6,A
460176,Female,No,28,Yes,Entertainment,783,0,Low,4,Cat_6,C
462161,Female,No,28,Yes,Doctor,1453,0,Low,3,Cat_6,D
464841,Male,,19,No,Entertainment,653,0,High,3,Cat_4,D
464893,Male,Yes,43,Yes,Artist,609,0,Low,2,Cat_4,B
464443,Female,Yes,35,Yes,Artist,506,1,Average,2,Cat_6,B
467619,Male,Yes,65,Yes,Lawyer,1018,1,High,2,Cat_6,B
465974,Male,Yes,52,Yes,Executive,1559,7,High,4,Cat_4,C
462075,Female,No,40,Yes,Artist,602,1,Low,1,Cat_6,B
459494,Female,Yes,69,No,Engineer,1799,9,Low,3,Cat_6,A
466921,Female,No,22,No,Healthcare,814,3,Low,3,Cat_6,D
463544,Male,Yes,47,Yes,Executive,1435,1,Average,4,Cat_6,C
461167,Male,Yes,29,Yes,Marketing,730,1,High,2,Cat_3,A
467364,Male,Yes,46,Yes,Artist,584,1,Average,3,Cat_3,C
462408,Male,No,32,Yes,Artist,588,1,Low,2,Cat_6,A
466224,Female,No,38,Yes,Healthcare,839,0,Low,1,Cat_2,C
465151,Male,Yes,59,Yes,Artist,511,0,Low,1,Cat_6,B
467216,Female,No,26,Yes,Entertainment,623,1,Low,1,Cat_6,D
460586,Male,No,26,Yes,Healthcare,892,1,Low,2,Cat_3,A
461197,Male,No,28,No,Marketing,798,0,Low,1,Cat_3,D
462776,Female,Yes,53,Yes,Engineer,1696,1,Average,3,Cat_6,C
465058,Female,No,43,,Entertainment,773,,Low,1,Cat_6,B
464088,Male,No,27,No,Doctor,1494,1,Low,3,Cat_6,D
459471,Female,No,32,No,Artist,516,,Low,8,Cat_6,C
464695,Male,No,26,No,Engineer,1680,0,Low,4,Cat_4,D
462331,Female,No,31,No,Entertainment,791,0,Low,2,Cat_6,D
466523,Male,Yes,39,Yes,Executive,1355,1,High,3,Cat_3,B
465337,Female,Yes,43,No,Engineer,1647,1,Low,3,Cat_7,A
460834,Male,Yes,25,No,Doctor,1334,1,Low,2,Cat_1,A
466824,Male,Yes,40,Yes,Artist,536,3,High,3,Cat_6,A
461607,Female,Yes,40,Yes,Entertainment,732,7,Average,2,Cat_3,B
465091,Male,Yes,63,Yes,Entertainment,728,,Average,3,Cat_6,C
459532,Female,Yes,27,Yes,Healthcare,862,,Low,2,Cat_6,D
466999,Male,No,27,Yes,Healthcare,806,1,Low,3,Cat_6,D
466597,Female,No,19,No,Healthcare,821,1,Low,2,Cat_6,D
464075,Female,Yes,86,Yes,Lawyer,1087,0,High,2,Cat_6,B
463394,Male,Yes,41,Yes,Marketing,749,,High,2,Cat_6,B
462163,Female,Yes,27,Yes,Artist,678,4,Average,2,Cat_3,C
463895,Female,Yes,70,No,Doctor,1445,0,Average,2,Cat_6,B
464767,Female,Yes,53,No,Engineer,1751,8,Average,4,Cat_4,B
464763,Female,Yes,49,No,Engineer,1789,,Average,4,Cat_4,B
460718,Male,Yes,55,No,Executive,1447,3,Low,,Cat_4,D
461989,Female,,57,Yes,Engineer,1675,0,Average,4,Cat_2,C
466374,Male,Yes,83,No,Lawyer,1040,,Low,1,Cat_4,B
463738,Male,Yes,43,No,Executive,1479,0,High,4,Cat_6,A
465967,Male,Yes,36,No,Doctor,1432,6,Low,3,Cat_6,A
462260,Male,Yes,74,Yes,Lawyer,1095,0,Low,2,Cat_6,C
467234,Female,No,30,No,Homemaker,587,0,Low,4,Cat_6,D
466573,Female,No,37,Yes,Artist,584,5,Low,2,Cat_6,B
463229,Female,No,22,No,Marketing,733,0,Low,1,Cat_5,B
459768,Male,No,19,No,Healthcare,872,0,Low,4,Cat_6,D
462541,Male,Yes,70,Yes,Engineer,1672,4,High,2,Cat_6,B
467714,Male,Yes,89,Yes,Lawyer,1090,13,Low,1,Cat_6,A
467730,Male,No,18,No,Healthcare,872,,Low,4,Cat_6,D
459474,Male,No,25,Yes,Doctor,1372,6,Low,1,Cat_2,D
460093,Female,No,45,Yes,Artist,506,4,Low,1,Cat_3,A
467865,Female,No,35,Yes,Artist,586,3,Low,1,Cat_4,A
465758,Female,Yes,37,No,Engineer,1556,7,Low,1,Cat_4,D
464184,Female,Yes,39,No,Engineer,1534,4,Average,2,Cat_6,B
462618,Female,No,32,Yes,Healthcare,811,1,Low,5,Cat_4,D
464226,Female,Yes,62,Yes,Artist,569,2,Average,3,Cat_6,C
465432,Female,Yes,58,Yes,Engineer,1732,0,Average,4,Cat_4,B
464087,Female,No,32,No,Engineer,1771,,Low,4,Cat_6,C
466627,Male,No,25,No,Healthcare,890,0,Low,5,Cat_6,C
467380,Female,Yes,56,Yes,Artist,562,0,Average,4,Cat_6,C
465842,Female,No,36,Yes,Entertainment,674,10,Low,2,Cat_6,A
464622,Female,No,30,No,Healthcare,867,8,Low,3,Cat_6,A
462083,Male,No,19,No,Healthcare,805,1,Low,5,Cat_6,D
460910,Male,No,27,Yes,Healthcare,889,0,Low,2,Cat_6,A
460255,Female,No,38,Yes,Doctor,1387,14,Low,1,Cat_6,A
460109,Male,Yes,46,Yes,Artist,601,8,Average,2,Cat_6,C
464306,Male,No,29,Yes,Artist,530,3,Low,1,Cat_6,B
466835,Male,Yes,51,No,Entertainment,708,1,Average,4,Cat_7,B
465192,Male,Yes,55,No,Artist,678,0,Low,1,Cat_6,A
463380,Female,Yes,69,Yes,Engineer,1744,1,Low,1,Cat_3,A
462391,Female,No,26,No,Healthcare,829,1,Low,8,Cat_7,C
467086,Female,Yes,83,Yes,Lawyer,1088,0,Low,3,Cat_6,A
460306,Female,No,39,Yes,Healthcare,871,9,Low,1,Cat_6,D
460752,Male,Yes,35,Yes,Artist,615,9,Low,1,Cat_6,A
467264,Male,Yes,19,No,Marketing,720,2,High,5,Cat_6,C
461646,Female,Yes,60,Yes,Artist,540,,High,4,Cat_6,C
463570,Male,Yes,35,Yes,Artist,556,,Average,4,Cat_6,C
465277,Female,No,53,Yes,Engineer,1506,,Low,1,Cat_6,B
467426,Female,Yes,86,No,Lawyer,1003,,Low,,Cat_6,B
466258,Female,No,29,No,Healthcare,805,1,Low,3,Cat_6,B
463719,Female,No,26,No,Doctor,1480,0,Low,1,Cat_6,D
460032,Male,No,36,Yes,Engineer,1621,8,Low,1,Cat_6,A
465175,Female,No,22,No,Homemaker,514,0,Low,4,Cat_6,D
466610,Male,No,19,No,Marketing,778,0,Low,5,Cat_6,A
459036,Female,Yes,20,Yes,Lawyer,1049,1,Average,3,Cat_3,A
464047,Male,No,43,Yes,Healthcare,803,3,Low,3,Cat_6,D
459496,Female,No,42,Yes,Artist,645,,Low,3,Cat_6,A
459997,Male,No,43,Yes,Entertainment,738,1,Low,2,Cat_4,A
463382,Female,Yes,50,Yes,Engineer,1514,4,High,3,Cat_6,B
460967,Male,No,25,Yes,Entertainment,626,1,Low,2,Cat_6,A
465094,Male,Yes,61,No,Artist,517,1,High,2,Cat_6,B
461229,Female,Yes,28,Yes,Healthcare,877,0,Average,2,Cat_6,A
466442,Male,No,38,Yes,Artist,674,1,Low,1,Cat_6,D
464527,Male,No,25,No,Executive,1312,12,Low,3,Cat_6,A
463560,Female,No,18,No,Healthcare,813,9,Low,5,Cat_4,D
460011,Male,Yes,43,Yes,Entertainment,692,1,Average,5,Cat_5,C
467207,Female,No,27,Yes,Artist,519,8,Low,1,Cat_6,B
465177,Female,No,60,Yes,Entertainment,668,1,Low,2,Cat_6,D
467531,Male,Yes,75,Yes,Lawyer,1085,2,Low,1,Cat_6,D
465409,Female,No,31,No,Doctor,1438,,Low,4,Cat_6,D
462842,Male,No,23,No,Doctor,1321,6,Low,4,Cat_2,D
462124,Male,No,36,Yes,Artist,595,8,Low,1,Cat_6,A
466265,Male,No,30,No,Doctor,1414,1,Low,1,Cat_3,C
459789,Male,Yes,56,No,Artist,640,1,Average,2,Cat_6,C
464223,Female,Yes,52,Yes,Artist,543,2,Low,2,Cat_6,C
460280,Male,Yes,39,Yes,Entertainment,752,0,Low,1,Cat_6,D
460331,Female,No,35,No,Artist,672,5,Low,1,Cat_6,A
461494,Male,Yes,33,No,Engineer,1670,0,Average,2,Cat_6,B
460035,Female,No,25,Yes,Artist,541,0,Low,6,Cat_6,A
