,Gender,Ever_Married,Age,Graduated,Profession,Income,Work_Experience,Spending_Score,Family_Size,clusterNo
86,0,1.0,52,1.0,5.0,561,0.0,2,3.0,1
87,1,1.0,36,1.0,5.0,659,5.0,1,2.0,1
88,1,0.0,42,0.0,4.0,727,7.0,1,3.0,1
89,0,1.0,40,0.0,7.0,1443,0.0,2,2.0,3
90,0,0.0,39,1.0,4.0,689,0.0,1,3.0,1
91,1,1.0,47,1.0,5.0,632,1.0,2,4.0,1
92,1,1.0,61,1.0,5.0,587,1.0,3,2.0,1
93,0,1.0,32,0.0,4.0,639,1.0,1,2.0,1
94,0,1.0,55,0.0,5.0,615,0.0,1,1.0,1
95,0,1.0,58,1.0,5.0,606,3.0,2,1.0,1
96,1,0.0,38,1.0,5.0,524,0.0,1,1.0,1
97,0,1.0,63,1.0,5.0,568,0.0,3,2.0,1
98,0,1.0,58,1.0,7.0,1301,1.0,2,2.0,3
99,0,1.0,30,0.0,2.0,1526,3.0,2,3.0,3
100,0,1.0,60,1.0,5.0,527,0.0,2,4.0,1
101,0,1.0,68,0.0,6.0,1387,1.0,3,7.0,3
102,0,1.0,52,0.0,5.0,554,0.0,1,3.0,1
103,0,1.0,38,0.0,6.0,1309,0.0,3,5.0,3
104,1,1.0,35,1.0,1.0,845,10.0,1,2.0,0
105,0,0.0,18,0.0,7.0,1404,1.0,1,2.0,3
106,0,1.0,30,1.0,8.0,526,3.0,1,2.0,1
107,0,0.0,86,0.0,3.0,1045,1.0,1,1.0,0
109,0,0.0,25,0.0,1.0,824,9.0,1,3.0,0
110,0,1.0,59,1.0,4.0,794,3.0,1,4.0,0
111,1,0.0,39,1.0,5.0,512,0.0,1,1.0,1
112,1,1.0,50,1.0,7.0,1360,1.0,1,3.0,3
113,0,0.0,47,1.0,5.0,606,1.0,1,1.0,1
114,0,1.0,43,1.0,6.0,1580,0.0,3,3.0,2
115,0,1.0,36,0.0,6.0,1481,8.0,2,4.0,3
116,0,1.0,80,0.0,3.0,1006,1.0,1,1.0,0
117,0,0.0,36,1.0,5.0,527,0.0,1,2.0,1
119,1,1.0,37,1.0,5.0,611,1.0,3,2.0,1
120,0,1.0,46,1.0,6.0,1328,0.0,3,3.0,3
121,0,1.0,55,0.0,6.0,1553,1.0,3,4.0,2
122,1,1.0,47,0.0,2.0,1563,9.0,2,4.0,2
123,1,0.0,28,1.0,1.0,821,1.0,1,3.0,0
124,0,1.0,39,0.0,4.0,658,9.0,1,2.0,1
125,1,1.0,27,0.0,9.0,769,1.0,1,2.0,0
126,1,1.0,42,0.0,2.0,1587,0.0,1,3.0,2
127,0,1.0,72,1.0,5.0,574,0.0,2,2.0,1
128,1,1.0,28,1.0,2.0,1770,0.0,1,2.0,2
129,0,0.0,35,1.0,4.0,784,8.0,1,5.0,0
130,0,1.0,39,1.0,6.0,1470,9.0,3,5.0,3
131,1,1.0,69,1.0,3.0,1033,0.0,3,2.0,0
132,0,0.0,18,0.0,1.0,820,6.0,1,4.0,0
133,0,1.0,46,1.0,5.0,595,3.0,1,1.0,1
134,1,1.0,50,1.0,2.0,1668,1.0,3,2.0,2
135,0,0.0,30,0.0,6.0,1347,5.0,1,5.0,3
136,1,0.0,41,0.0,5.0,524,3.0,1,2.0,1
137,1,0.0,39,1.0,5.0,542,3.0,1,4.0,1
138,1,0.0,29,0.0,9.0,723,8.0,1,4.0,1
139,1,1.0,37,1.0,5.0,631,4.0,1,4.0,1
140,1,1.0,39,1.0,2.0,1781,0.0,2,2.0,2
141,1,1.0,48,1.0,5.0,561,0.0,2,5.0,1
142,1,0.0,32,1.0,7.0,1465,0.0,1,3.0,3
143,0,1.0,78,0.0,3.0,1085,1.0,1,3.0,0
144,1,1.0,43,0.0,2.0,1670,0.0,2,5.0,2
145,0,0.0,29,0.0,9.0,721,8.0,1,5.0,1
146,1,1.0,28,0.0,2.0,1582,9.0,2,2.0,2
147,0,1.0,80,1.0,3.0,1003,1.0,1,1.0,0
148,1,0.0,28,1.0,1.0,834,7.0,1,4.0,0
149,0,1.0,71,1.0,5.0,519,6.0,2,3.0,1
150,0,1.0,67,0.0,3.0,1015,0.0,3,9.0,0
151,1,0.0,26,0.0,2.0,1781,0.0,1,1.0,2
152,1,1.0,47,1.0,2.0,1760,0.0,2,2.0,2
153,1,1.0,43,1.0,5.0,563,2.0,2,2.0,1
154,1,0.0,27,1.0,1.0,851,0.0,1,4.0,0
155,1,1.0,45,1.0,9.0,768,8.0,1,4.0,0
156,0,1.0,76,0.0,6.0,1524,1.0,1,1.0,3
157,1,1.0,43,1.0,5.0,695,3.0,2,4.0,1
158,1,1.0,78,1.0,3.0,1090,1.0,3,2.0,0
159,0,1.0,35,1.0,5.0,657,3.0,2,3.0,1
160,1,0.0,49,1.0,5.0,588,1.0,1,1.0,1
161,1,0.0,25,1.0,1.0,871,1.0,1,5.0,0
162,0,1.0,37,0.0,6.0,1430,0.0,2,5.0,3
163,1,0.0,32,0.0,1.0,848,1.0,1,5.0,0
164,0,1.0,60,1.0,7.0,1417,0.0,2,2.0,3
165,1,1.0,45,1.0,5.0,653,5.0,2,3.0,1
166,1,1.0,49,1.0,8.0,570,9.0,2,3.0,1
167,0,0.0,32,1.0,5.0,591,0.0,1,5.0,1
168,1,1.0,40,1.0,5.0,683,0.0,1,3.0,1
169,0,1.0,59,0.0,5.0,624,2.0,2,2.0,1
170,0,1.0,48,1.0,5.0,619,3.0,1,5.0,1
171,0,1.0,82,1.0,6.0,1460,0.0,3,2.0,3
172,1,1.0,70,1.0,3.0,1049,0.0,1,2.0,0
173,0,0.0,31,1.0,5.0,632,5.0,1,2.0,1
174,1,1.0,72,1.0,3.0,1010,0.0,3,2.0,0
175,0,1.0,50,1.0,5.0,514,3.0,2,4.0,1
176,1,0.0,23,0.0,2.0,1682,11.0,1,1.0,2
177,1,0.0,20,0.0,1.0,824,2.0,1,6.0,0
178,1,0.0,22,0.0,1.0,856,4.0,1,3.0,0
179,1,0.0,31,1.0,2.0,1645,8.0,1,1.0,2
180,1,1.0,36,1.0,5.0,608,7.0,2,2.0,1
181,0,1.0,52,0.0,4.0,616,3.0,2,5.0,1
182,1,0.0,29,1.0,5.0,604,3.0,1,1.0,1
183,0,1.0,40,1.0,5.0,628,4.0,2,4.0,1
184,1,0.0,40,1.0,5.0,619,1.0,1,1.0,1
185,0,1.0,38,1.0,5.0,528,3.0,1,2.0,1
186,1,1.0,85,0.0,3.0,1010,3.0,1,3.0,0
187,1,0.0,21,0.0,7.0,1354,1.0,1,3.0,3
188,1,1.0,41,0.0,2.0,1682,4.0,2,2.0,2
189,0,1.0,40,1.0,5.0,580,0.0,1,2.0,1
190,0,1.0,53,1.0,5.0,693,1.0,2,3.0,1
191,1,1.0,42,1.0,5.0,593,5.0,1,2.0,1
192,0,1.0,42,0.0,6.0,1399,8.0,1,2.0,3
193,0,1.0,48,1.0,5.0,562,3.0,2,4.0,1
194,0,1.0,59,1.0,5.0,566,7.0,1,2.0,1
195,0,1.0,41,1.0,6.0,1350,1.0,2,3.0,3
196,1,1.0,31,1.0,5.0,582,0.0,2,2.0,1
197,1,1.0,49,1.0,5.0,680,1.0,3,5.0,1
198,0,1.0,67,1.0,6.0,1576,1.0,1,2.0,2
199,0,1.0,35,0.0,5.0,659,4.0,2,2.0,1
200,1,0.0,26,1.0,1.0,832,0.0,1,3.0,0
202,1,1.0,25,0.0,2.0,1533,6.0,2,8.0,3
203,1,1.0,39,1.0,1.0,887,4.0,1,2.0,0
204,0,1.0,63,1.0,4.0,646,0.0,1,2.0,1
205,0,0.0,23,0.0,1.0,869,8.0,1,3.0,0
206,1,0.0,23,0.0,1.0,850,0.0,1,3.0,0
207,1,1.0,53,1.0,5.0,592,2.0,1,1.0,1
208,0,0.0,33,1.0,7.0,1349,0.0,1,2.0,3
209,1,1.0,50,0.0,2.0,1781,3.0,2,4.0,2
210,1,1.0,69,1.0,2.0,1568,0.0,1,2.0,2
211,0,0.0,37,1.0,5.0,593,2.0,1,1.0,1
212,1,0.0,20,0.0,9.0,741,3.0,1,4.0,1
214,1,1.0,49,1.0,7.0,1344,1.0,2,4.0,3
215,0,0.0,18,0.0,1.0,859,0.0,1,3.0,0
216,1,1.0,52,1.0,7.0,1326,0.0,2,2.0,3
217,0,1.0,25,0.0,7.0,1310,3.0,2,2.0,3
218,0,1.0,56,0.0,6.0,1422,3.0,3,2.0,3
221,0,1.0,28,1.0,2.0,1535,0.0,2,2.0,2
222,1,0.0,28,1.0,5.0,658,7.0,1,3.0,1
223,0,0.0,20,0.0,1.0,825,0.0,1,5.0,0
224,1,0.0,27,0.0,8.0,582,8.0,1,1.0,1
225,1,0.0,56,0.0,2.0,1761,3.0,1,1.0,2
226,0,1.0,45,1.0,5.0,545,4.0,2,4.0,1
227,0,0.0,25,1.0,1.0,813,1.0,1,4.0,0
228,0,0.0,40,0.0,9.0,703,1.0,1,1.0,1
229,1,1.0,25,1.0,1.0,847,3.0,1,2.0,0
230,1,1.0,74,0.0,3.0,1052,3.0,3,2.0,0
231,1,0.0,23,0.0,1.0,805,0.0,1,4.0,0
232,1,1.0,67,1.0,3.0,1017,0.0,3,2.0,0
233,0,0.0,21,0.0,1.0,877,0.0,1,4.0,0
234,1,0.0,38,1.0,5.0,668,9.0,1,1.0,1
235,0,0.0,28,0.0,1.0,834,0.0,1,4.0,0
236,1,0.0,32,0.0,1.0,808,1.0,1,5.0,0
238,1,1.0,56,0.0,3.0,1042,1.0,3,4.0,0
239,1,1.0,53,1.0,5.0,544,1.0,1,2.0,1
240,0,1.0,57,0.0,6.0,1575,1.0,3,5.0,2
241,1,1.0,59,1.0,5.0,626,0.0,2,3.0,1
242,1,1.0,25,1.0,1.0,835,1.0,3,4.0,0
243,0,1.0,59,1.0,5.0,590,0.0,2,6.0,1
244,1,1.0,36,1.0,5.0,689,0.0,1,4.0,1
245,0,1.0,37,1.0,4.0,749,7.0,1,2.0,1
246,0,0.0,22,0.0,7.0,1413,1.0,1,3.0,3
247,0,1.0,43,1.0,5.0,561,1.0,1,2.0,1
248,0,1.0,41,1.0,5.0,586,1.0,1,2.0,1
249,1,0.0,21,0.0,2.0,1517,0.0,1,5.0,3
250,1,0.0,49,0.0,2.0,1524,1.0,1,3.0,3
251,0,0.0,38,1.0,7.0,1427,8.0,1,1.0,3
252,0,1.0,47,0.0,5.0,559,3.0,2,4.0,1
253,0,1.0,70,1.0,3.0,1086,1.0,3,3.0,0
254,1,0.0,31,0.0,2.0,1507,1.0,1,4.0,3
255,1,1.0,82,0.0,3.0,1027,0.0,2,2.0,0
256,1,1.0,51,0.0,6.0,1566,3.0,1,1.0,2
257,1,0.0,42,0.0,8.0,581,11.0,1,3.0,1
258,0,0.0,38,1.0,5.0,591,8.0,1,3.0,1
259,0,1.0,18,0.0,6.0,1400,0.0,3,4.0,3
260,0,1.0,50,1.0,5.0,519,6.0,2,3.0,1
261,1,0.0,46,1.0,7.0,1382,1.0,1,3.0,3
262,1,1.0,72,0.0,3.0,1031,1.0,3,3.0,0
263,1,0.0,33,0.0,2.0,1554,3.0,1,4.0,2
264,1,0.0,25,0.0,8.0,571,1.0,1,7.0,1
265,1,1.0,75,0.0,4.0,642,2.0,3,2.0,1
266,0,0.0,72,1.0,5.0,649,1.0,1,1.0,1
267,1,1.0,72,1.0,5.0,516,0.0,2,3.0,1
268,0,1.0,36,1.0,4.0,637,6.0,1,6.0,1
269,0,1.0,40,1.0,5.0,505,1.0,1,2.0,1
270,1,0.0,28,1.0,4.0,783,0.0,1,4.0,0
271,1,0.0,28,1.0,7.0,1453,0.0,1,3.0,3
273,0,1.0,43,1.0,5.0,609,0.0,1,2.0,1
274,1,1.0,35,1.0,5.0,506,1.0,2,2.0,1
275,0,1.0,65,1.0,3.0,1018,1.0,3,2.0,0
276,0,1.0,52,1.0,6.0,1559,7.0,3,4.0,2
277,1,0.0,40,1.0,5.0,602,1.0,1,1.0,1
278,1,1.0,69,0.0,2.0,1799,9.0,1,3.0,2
279,1,0.0,22,0.0,1.0,814,3.0,1,3.0,0
280,0,1.0,47,1.0,6.0,1435,1.0,2,4.0,3
281,0,1.0,29,1.0,9.0,730,1.0,3,2.0,1
282,0,1.0,46,1.0,5.0,584,1.0,2,3.0,1
283,0,0.0,32,1.0,5.0,588,1.0,1,2.0,1
284,1,0.0,38,1.0,1.0,839,0.0,1,1.0,0
285,0,1.0,59,1.0,5.0,511,0.0,1,1.0,1
286,1,0.0,26,1.0,4.0,623,1.0,1,1.0,1
287,0,0.0,26,1.0,1.0,892,1.0,1,2.0,0
288,0,0.0,28,0.0,9.0,798,0.0,1,1.0,0
289,1,1.0,53,1.0,2.0,1696,1.0,2,3.0,2
291,0,0.0,27,0.0,7.0,1494,1.0,1,3.0,3
292,1,0.0,32,0.0,5.0,516,3.0,1,8.0,1
293,0,0.0,26,0.0,2.0,1680,0.0,1,4.0,2
294,1,0.0,31,0.0,4.0,791,0.0,1,2.0,0
295,0,1.0,39,1.0,6.0,1355,1.0,3,3.0,3
296,1,1.0,43,0.0,2.0,1647,1.0,1,3.0,2
297,0,1.0,25,0.0,7.0,1334,1.0,1,2.0,3
298,0,1.0,40,1.0,5.0,536,3.0,3,3.0,1
299,1,1.0,40,1.0,4.0,732,7.0,2,2.0,1
300,0,1.0,63,1.0,4.0,728,3.0,2,3.0,1
301,1,1.0,27,1.0,1.0,862,3.0,1,2.0,0
302,0,0.0,27,1.0,1.0,806,1.0,1,3.0,0
303,1,0.0,19,0.0,1.0,821,1.0,1,2.0,0
304,1,1.0,86,1.0,3.0,1087,0.0,3,2.0,0
305,0,1.0,41,1.0,9.0,749,3.0,3,2.0,1
306,1,1.0,27,1.0,5.0,678,4.0,2,2.0,1
307,1,1.0,70,0.0,7.0,1445,0.0,2,2.0,3
308,1,1.0,53,0.0,2.0,1751,8.0,2,4.0,2
309,1,1.0,49,0.0,2.0,1789,3.0,2,4.0,2
310,0,1.0,55,0.0,6.0,1447,3.0,1,3.0,3
312,0,1.0,83,0.0,3.0,1040,3.0,1,1.0,0
313,0,1.0,43,0.0,6.0,1479,0.0,3,4.0,3
314,0,1.0,36,0.0,7.0,1432,6.0,1,3.0,3
315,0,1.0,74,1.0,3.0,1095,0.0,1,2.0,0
316,1,0.0,30,0.0,8.0,587,0.0,1,4.0,1
317,1,0.0,37,1.0,5.0,584,5.0,1,2.0,1
318,1,0.0,22,0.0,9.0,733,0.0,1,1.0,1
319,0,0.0,19,0.0,1.0,872,0.0,1,4.0,0
320,0,1.0,70,1.0,2.0,1672,4.0,3,2.0,2
321,0,1.0,89,1.0,3.0,1090,13.0,1,1.0,0
322,0,0.0,18,0.0,1.0,872,3.0,1,4.0,0
323,0,0.0,25,1.0,7.0,1372,6.0,1,1.0,3
324,1,0.0,45,1.0,5.0,506,4.0,1,1.0,1
325,1,0.0,35,1.0,5.0,586,3.0,1,1.0,1
326,1,1.0,37,0.0,2.0,1556,7.0,1,1.0,2
327,1,1.0,39,0.0,2.0,1534,4.0,2,2.0,2
328,1,0.0,32,1.0,1.0,811,1.0,1,5.0,0
329,1,1.0,62,1.0,5.0,569,2.0,2,3.0,1
330,1,1.0,58,1.0,2.0,1732,0.0,2,4.0,2
331,1,0.0,32,0.0,2.0,1771,3.0,1,4.0,2
332,0,0.0,25,0.0,1.0,890,0.0,1,5.0,0
333,1,1.0,56,1.0,5.0,562,0.0,2,4.0,1
334,1,0.0,36,1.0,4.0,674,10.0,1,2.0,1
335,1,0.0,30,0.0,1.0,867,8.0,1,3.0,0
336,0,0.0,19,0.0,1.0,805,1.0,1,5.0,0
337,0,0.0,27,1.0,1.0,889,0.0,1,2.0,0
338,1,0.0,38,1.0,7.0,1387,14.0,1,1.0,3
339,0,1.0,46,1.0,5.0,601,8.0,2,2.0,1
340,0,0.0,29,1.0,5.0,530,3.0,1,1.0,1
341,0,1.0,51,0.0,4.0,708,1.0,2,4.0,1
342,0,1.0,55,0.0,5.0,678,0.0,1,1.0,1
343,1,1.0,69,1.0,2.0,1744,1.0,1,1.0,2
344,1,0.0,26,0.0,1.0,829,1.0,1,8.0,0
345,1,1.0,83,1.0,3.0,1088,0.0,1,3.0,0
346,1,0.0,39,1.0,1.0,871,9.0,1,1.0,0
347,0,1.0,35,1.0,5.0,615,9.0,1,1.0,1
348,0,1.0,19,0.0,9.0,720,2.0,3,5.0,1
349,1,1.0,60,1.0,5.0,540,3.0,3,4.0,1
350,0,1.0,35,1.0,5.0,556,3.0,2,4.0,1
351,1,0.0,53,1.0,2.0,1506,3.0,1,1.0,3
352,1,1.0,86,0.0,3.0,1003,3.0,1,3.0,0
353,1,0.0,29,0.0,1.0,805,1.0,1,3.0,0
354,1,0.0,26,0.0,7.0,1480,0.0,1,1.0,3
355,0,0.0,36,1.0,2.0,1621,8.0,1,1.0,2
356,1,0.0,22,0.0,8.0,514,0.0,1,4.0,1
357,0,0.0,19,0.0,9.0,778,0.0,1,5.0,0
358,1,1.0,20,1.0,3.0,1049,1.0,2,3.0,0
359,0,0.0,43,1.0,1.0,803,3.0,1,3.0,0
360,1,0.0,42,1.0,5.0,645,3.0,1,3.0,1
361,0,0.0,43,1.0,4.0,738,1.0,1,2.0,1
362,1,1.0,50,1.0,2.0,1514,4.0,3,3.0,3
363,0,0.0,25,1.0,4.0,626,1.0,1,2.0,1
364,0,1.0,61,0.0,5.0,517,1.0,3,2.0,1
365,1,1.0,28,1.0,1.0,877,0.0,2,2.0,0
366,0,0.0,38,1.0,5.0,674,1.0,1,1.0,1
367,0,0.0,25,0.0,6.0,1312,12.0,1,3.0,3
368,1,0.0,18,0.0,1.0,813,9.0,1,5.0,0
369,0,1.0,43,1.0,4.0,692,1.0,2,5.0,1
370,1,0.0,27,1.0,5.0,519,8.0,1,1.0,1
371,1,0.0,60,1.0,4.0,668,1.0,1,2.0,1
372,0,1.0,75,1.0,3.0,1085,2.0,1,1.0,0
373,1,0.0,31,0.0,7.0,1438,3.0,1,4.0,3
374,0,0.0,23,0.0,7.0,1321,6.0,1,4.0,3
375,0,0.0,36,1.0,5.0,595,8.0,1,1.0,1
376,0,0.0,30,0.0,7.0,1414,1.0,1,1.0,3
377,0,1.0,56,0.0,5.0,640,1.0,2,2.0,1
378,1,1.0,52,1.0,5.0,543,2.0,1,2.0,1
379,0,1.0,39,1.0,4.0,752,0.0,1,1.0,1
380,1,0.0,35,0.0,5.0,672,5.0,1,1.0,1
381,0,1.0,33,0.0,2.0,1670,0.0,2,2.0,2
382,1,0.0,25,1.0,5.0,541,0.0,1,6.0,1
383,1,1.0,27,1.0,5.0,539,0.0,2,2.0,1
384,0,1.0,35,1.0,5.0,598,1.0,3,3.0,1
385,1,1.0,41,1.0,5.0,516,1.0,2,2.0,1
386,1,1.0,49,1.0,5.0,620,3.0,2,3.0,1
387,1,1.0,46,0.0,5.0,599,8.0,2,2.0,1
388,1,0.0,31,0.0,1.0,851,3.0,1,2.0,0
389,0,0.0,49,1.0,7.0,1376,3.0,1,1.0,3
390,1,0.0,26,1.0,5.0,515,9.0,1,1.0,1
391,0,1.0,43,1.0,7.0,1425,13.0,3,2.0,3
392,1,1.0,30,1.0,5.0,568,8.0,1,4.0,1
393,1,1.0,70,1.0,5.0,658,1.0,2,4.0,1
394,1,0.0,28,1.0,5.0,618,3.0,1,1.0,1
395,1,1.0,89,0.0,3.0,1031,3.0,3,1.0,0
396,1,1.0,42,0.0,8.0,600,6.0,3,4.0,1
397,1,1.0,37,1.0,4.0,629,6.0,2,3.0,1
398,0,1.0,29,0.0,6.0,1559,1.0,2,3.0,2
399,1,1.0,68,1.0,5.0,546,1.0,3,2.0,1
400,1,0.0,25,0.0,2.0,1642,1.0,1,1.0,2
401,0,0.0,29,0.0,1.0,869,1.0,1,3.0,0
402,1,1.0,48,1.0,7.0,1332,0.0,1,2.0,3
403,1,1.0,51,1.0,7.0,1447,1.0,2,3.0,3
404,1,1.0,40,1.0,2.0,1650,1.0,3,5.0,2
405,0,1.0,47,1.0,5.0,631,0.0,2,6.0,1
406,0,1.0,39,1.0,6.0,1319,3.0,3,3.0,3
407,0,1.0,35,1.0,6.0,1373,1.0,2,4.0,3
408,1,0.0,19,0.0,1.0,830,2.0,1,3.0,0
409,1,0.0,21,0.0,1.0,804,7.0,1,3.0,0
410,0,1.0,46,1.0,4.0,680,0.0,2,3.0,1
411,0,1.0,86,1.0,3.0,1095,0.0,1,1.0,0
412,0,1.0,66,1.0,5.0,594,0.0,3,2.0,1
413,0,0.0,42,0.0,9.0,749,1.0,1,5.0,1
414,1,1.0,73,1.0,3.0,1090,1.0,3,2.0,0
415,0,1.0,72,0.0,2.0,1558,1.0,1,1.0,2
416,0,1.0,53,1.0,5.0,618,0.0,1,3.0,1
417,1,1.0,39,1.0,5.0,519,8.0,2,2.0,1
418,1,0.0,27,0.0,8.0,531,9.0,1,1.0,1
419,0,1.0,63,0.0,4.0,754,1.0,2,3.0,1
420,1,0.0,23,0.0,1.0,882,1.0,1,3.0,0
421,1,0.0,30,1.0,4.0,617,0.0,1,4.0,1
422,1,1.0,39,1.0,5.0,508,5.0,2,2.0,1
423,0,1.0,26,1.0,5.0,670,1.0,2,3.0,1
424,1,1.0,50,1.0,4.0,670,7.0,1,3.0,1
425,1,1.0,45,1.0,5.0,582,1.0,2,2.0,1
426,1,0.0,62,0.0,4.0,661,2.0,1,1.0,1
427,1,0.0,27,1.0,7.0,1477,1.0,1,3.0,3
428,0,1.0,57,1.0,4.0,766,1.0,1,3.0,0
429,1,1.0,30,0.0,2.0,1604,1.0,2,7.0,2
430,0,0.0,32,0.0,1.0,840,7.0,1,4.0,0
432,0,0.0,47,0.0,5.0,560,3.0,1,3.0,1
433,1,0.0,32,1.0,5.0,543,4.0,1,4.0,1
434,1,1.0,32,0.0,2.0,1761,5.0,1,3.0,2
435,0,1.0,67,1.0,7.0,1375,1.0,2,4.0,3
436,1,1.0,77,1.0,3.0,1004,0.0,3,2.0,0
438,0,0.0,31,0.0,4.0,743,1.0,1,1.0,1
439,0,1.0,42,1.0,5.0,601,0.0,1,3.0,1
441,0,1.0,50,1.0,5.0,511,1.0,2,4.0,1
442,0,1.0,71,1.0,5.0,675,0.0,2,5.0,1
443,1,1.0,72,0.0,3.0,1036,1.0,1,3.0,0
444,0,1.0,47,1.0,5.0,644,3.0,1,3.0,1
